"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","#04 GET /todo(404)","chromium","Fri Jul 11 07:47:35 GMT 2025","passed","Fri Jul 11 07:47:35 GMT 2025","GET Challenges","","",""
"","86","#28 GET /todos?(200)","chromium","Fri Jul 11 07:47:35 GMT 2025","passed","Fri Jul 11 07:47:35 GMT 2025","GET Challenges","","",""
"","2129","Создание статьи","chromium","Fri Jul 11 07:47:36 GMT 2025","passed","Fri Jul 11 07:47:38 GMT 2025","Article tests","","",""
"","88","#25 GET /todos?xml(200)","chromium","Fri Jul 11 07:47:35 GMT 2025","passed","Fri Jul 11 07:47:35 GMT 2025","GET Challenges","","",""
"","83","#34 /challenger/guid(200)","chromium","Fri Jul 11 07:47:36 GMT 2025","passed","Fri Jul 11 07:47:36 GMT 2025","GET Challenges","","",""
"","1726","Отфильтровать статью по тегу из списка","chromium","Fri Jul 11 07:47:42 GMT 2025","passed","Fri Jul 11 07:47:44 GMT 2025","Article tests","","",""
"","2412","Поставить лайк статье","chromium","Fri Jul 11 07:47:40 GMT 2025","passed","Fri Jul 11 07:47:42 GMT 2025","Article tests","","",""
"","85","#44GET /heartbeat(204)","chromium","Fri Jul 11 07:47:36 GMT 2025","passed","Fri Jul 11 07:47:36 GMT 2025","GET Challenges","","",""
"","82","#26 GET /todos?json(200)","chromium","Fri Jul 11 07:47:35 GMT 2025","passed","Fri Jul 11 07:47:35 GMT 2025","GET Challenges","","",""
"","1447","Возможность логаута пользователя","chromium","Fri Jul 11 07:47:44 GMT 2025","passed","Fri Jul 11 07:47:46 GMT 2025","User tests","","",""
"","2045","Смена пароля у пользователя","chromium","Fri Jul 11 07:47:46 GMT 2025","passed","Fri Jul 11 07:47:48 GMT 2025","User tests","","",""
"","92","#02 GET /challenges(200)","chromium","Fri Jul 11 07:47:34 GMT 2025","passed","Fri Jul 11 07:47:35 GMT 2025","GET Challenges","","",""
"","85","#30 GET /todos?gzip(406)","chromium","Fri Jul 11 07:47:36 GMT 2025","passed","Fri Jul 11 07:47:36 GMT 2025","GET Challenges","","",""
"","86","#08POST /todos(201)","chromium","Fri Jul 11 07:47:36 GMT 2025","passed","Fri Jul 11 07:47:36 GMT 2025","POST Challenges","","",""
"","85","#42PATCH /heartbeat(500)","chromium","Fri Jul 11 07:47:36 GMT 2025","passed","Fri Jul 11 07:47:36 GMT 2025","PATCH Challenges","","",""
"","88","#03 GET /todos(200)","chromium","Fri Jul 11 07:47:35 GMT 2025","passed","Fri Jul 11 07:47:35 GMT 2025","GET Challenges","","",""
"","84","#29 GET /todos?(200)","chromium","Fri Jul 11 07:47:35 GMT 2025","passed","Fri Jul 11 07:47:36 GMT 2025","GET Challenges","","",""
"","82","#27 GET /todos?*/*(200)","chromium","Fri Jul 11 07:47:35 GMT 2025","passed","Fri Jul 11 07:47:35 GMT 2025","GET Challenges","","",""
"","81","#42DELETE /heartbeat(405)","chromium","Fri Jul 11 07:47:36 GMT 2025","passed","Fri Jul 11 07:47:36 GMT 2025","DELETE Challenges","","",""
